date	location	variant	sequences
2022-03-29	Australia	other	1
2022-03-31	Australia	other	1
2022-04-02	Australia	other	1
2022-04-06	Australia	other	2
2022-04-09	Australia	other	2
2022-04-10	Australia	other	1
2022-04-11	Australia	other	1
2022-04-17	Australia	other	1
2022-04-19	Australia	other	1
2022-04-22	Australia	other	1
2022-05-02	Australia	other	1
2022-05-09	Australia	other	1
2022-05-10	Australia	other	1
2022-05-11	Australia	other	2
2022-05-12	Australia	other	1
2022-05-14	Australia	other	2
2022-05-15	Australia	other	2
2022-05-16	Australia	other	1
2022-05-19	Australia	other	4
2022-05-20	Australia	other	3
2022-05-21	Australia	other	1
2022-05-22	Australia	other	3
2022-05-23	Australia	other	1
2022-05-24	Australia	other	4
2022-05-25	Australia	other	1
2022-05-26	Australia	other	2
2022-05-27	Australia	other	1
2022-05-28	Australia	other	1
2022-06-02	Australia	other	1
2022-06-05	Australia	other	1
2022-06-06	Australia	other	1
2022-06-09	Australia	other	1
2022-06-16	Australia	other	1
2022-06-17	Australia	other	1
2022-06-19	Australia	other	1
2022-06-20	Australia	other	1
2022-06-27	Australia	other	1
2022-07-05	Australia	other	2
2022-07-10	Australia	other	1
2022-07-11	Australia	other	1
2022-07-13	Australia	other	1
2022-07-15	Australia	other	2
2022-06-14	Australia	Delta	1
2022-03-27	Australia	Omicron 21K	49
2022-03-28	Australia	Omicron 21K	41
2022-03-29	Australia	Omicron 21K	36
2022-03-30	Australia	Omicron 21K	50
2022-03-31	Australia	Omicron 21K	27
2022-04-01	Australia	Omicron 21K	19
2022-04-02	Australia	Omicron 21K	16
2022-04-03	Australia	Omicron 21K	46
2022-04-04	Australia	Omicron 21K	29
2022-04-05	Australia	Omicron 21K	17
2022-04-06	Australia	Omicron 21K	8
2022-04-07	Australia	Omicron 21K	26
2022-04-08	Australia	Omicron 21K	13
2022-04-09	Australia	Omicron 21K	14
2022-04-10	Australia	Omicron 21K	13
2022-04-11	Australia	Omicron 21K	9
2022-04-12	Australia	Omicron 21K	17
2022-04-13	Australia	Omicron 21K	10
2022-04-14	Australia	Omicron 21K	8
2022-04-15	Australia	Omicron 21K	13
2022-04-16	Australia	Omicron 21K	7
2022-04-17	Australia	Omicron 21K	7
2022-04-18	Australia	Omicron 21K	8
2022-04-19	Australia	Omicron 21K	15
2022-04-20	Australia	Omicron 21K	5
2022-04-21	Australia	Omicron 21K	7
2022-04-22	Australia	Omicron 21K	12
2022-04-23	Australia	Omicron 21K	4
2022-04-24	Australia	Omicron 21K	8
2022-04-25	Australia	Omicron 21K	7
2022-04-26	Australia	Omicron 21K	13
2022-04-27	Australia	Omicron 21K	11
2022-04-28	Australia	Omicron 21K	4
2022-04-29	Australia	Omicron 21K	3
2022-04-30	Australia	Omicron 21K	2
2022-05-01	Australia	Omicron 21K	2
2022-05-02	Australia	Omicron 21K	1
2022-05-04	Australia	Omicron 21K	4
2022-05-05	Australia	Omicron 21K	2
2022-05-06	Australia	Omicron 21K	1
2022-05-08	Australia	Omicron 21K	1
2022-05-09	Australia	Omicron 21K	2
2022-05-10	Australia	Omicron 21K	4
2022-05-12	Australia	Omicron 21K	2
2022-05-13	Australia	Omicron 21K	4
2022-05-14	Australia	Omicron 21K	1
2022-05-15	Australia	Omicron 21K	3
2022-05-17	Australia	Omicron 21K	3
2022-05-18	Australia	Omicron 21K	1
2022-05-19	Australia	Omicron 21K	2
2022-05-20	Australia	Omicron 21K	1
2022-05-21	Australia	Omicron 21K	1
2022-05-22	Australia	Omicron 21K	2
2022-05-23	Australia	Omicron 21K	1
2022-05-25	Australia	Omicron 21K	1
2022-05-26	Australia	Omicron 21K	3
2022-05-27	Australia	Omicron 21K	1
2022-05-31	Australia	Omicron 21K	1
2022-06-01	Australia	Omicron 21K	1
2022-06-03	Australia	Omicron 21K	1
2022-06-09	Australia	Omicron 21K	2
2022-06-10	Australia	Omicron 21K	1
2022-06-14	Australia	Omicron 21K	1
2022-03-27	Australia	Omicron 21L	605
2022-03-28	Australia	Omicron 21L	510
2022-03-29	Australia	Omicron 21L	596
2022-03-30	Australia	Omicron 21L	560
2022-03-31	Australia	Omicron 21L	402
2022-04-01	Australia	Omicron 21L	188
2022-04-02	Australia	Omicron 21L	314
2022-04-03	Australia	Omicron 21L	637
2022-04-04	Australia	Omicron 21L	427
2022-04-05	Australia	Omicron 21L	405
2022-04-06	Australia	Omicron 21L	361
2022-04-07	Australia	Omicron 21L	424
2022-04-08	Australia	Omicron 21L	242
2022-04-09	Australia	Omicron 21L	195
2022-04-10	Australia	Omicron 21L	284
2022-04-11	Australia	Omicron 21L	498
2022-04-12	Australia	Omicron 21L	454
2022-04-13	Australia	Omicron 21L	357
2022-04-14	Australia	Omicron 21L	288
2022-04-15	Australia	Omicron 21L	212
2022-04-16	Australia	Omicron 21L	224
2022-04-17	Australia	Omicron 21L	299
2022-04-18	Australia	Omicron 21L	295
2022-04-19	Australia	Omicron 21L	494
2022-04-20	Australia	Omicron 21L	511
2022-04-21	Australia	Omicron 21L	448
2022-04-22	Australia	Omicron 21L	273
2022-04-23	Australia	Omicron 21L	230
2022-04-24	Australia	Omicron 21L	342
2022-04-25	Australia	Omicron 21L	426
2022-04-26	Australia	Omicron 21L	557
2022-04-27	Australia	Omicron 21L	382
2022-04-28	Australia	Omicron 21L	382
2022-04-29	Australia	Omicron 21L	157
2022-04-30	Australia	Omicron 21L	191
2022-05-01	Australia	Omicron 21L	274
2022-05-02	Australia	Omicron 21L	339
2022-05-03	Australia	Omicron 21L	433
2022-05-04	Australia	Omicron 21L	390
2022-05-05	Australia	Omicron 21L	376
2022-05-06	Australia	Omicron 21L	352
2022-05-07	Australia	Omicron 21L	296
2022-05-08	Australia	Omicron 21L	333
2022-05-09	Australia	Omicron 21L	397
2022-05-10	Australia	Omicron 21L	446
2022-05-11	Australia	Omicron 21L	347
2022-05-12	Australia	Omicron 21L	398
2022-05-13	Australia	Omicron 21L	336
2022-05-14	Australia	Omicron 21L	352
2022-05-15	Australia	Omicron 21L	441
2022-05-16	Australia	Omicron 21L	455
2022-05-17	Australia	Omicron 21L	427
2022-05-18	Australia	Omicron 21L	352
2022-05-19	Australia	Omicron 21L	358
2022-05-20	Australia	Omicron 21L	261
2022-05-21	Australia	Omicron 21L	193
2022-05-22	Australia	Omicron 21L	289
2022-05-23	Australia	Omicron 21L	396
2022-05-24	Australia	Omicron 21L	405
2022-05-25	Australia	Omicron 21L	302
2022-05-26	Australia	Omicron 21L	359
2022-05-27	Australia	Omicron 21L	314
2022-05-28	Australia	Omicron 21L	236
2022-05-29	Australia	Omicron 21L	331
2022-05-30	Australia	Omicron 21L	376
2022-05-31	Australia	Omicron 21L	448
2022-06-01	Australia	Omicron 21L	342
2022-06-02	Australia	Omicron 21L	353
2022-06-03	Australia	Omicron 21L	256
2022-06-04	Australia	Omicron 21L	165
2022-06-05	Australia	Omicron 21L	343
2022-06-06	Australia	Omicron 21L	364
2022-06-07	Australia	Omicron 21L	361
2022-06-08	Australia	Omicron 21L	238
2022-06-09	Australia	Omicron 21L	254
2022-06-10	Australia	Omicron 21L	156
2022-06-11	Australia	Omicron 21L	131
2022-06-12	Australia	Omicron 21L	180
2022-06-13	Australia	Omicron 21L	188
2022-06-14	Australia	Omicron 21L	211
2022-06-15	Australia	Omicron 21L	98
2022-06-16	Australia	Omicron 21L	133
2022-06-17	Australia	Omicron 21L	142
2022-06-18	Australia	Omicron 21L	136
2022-06-19	Australia	Omicron 21L	130
2022-06-20	Australia	Omicron 21L	146
2022-06-21	Australia	Omicron 21L	179
2022-06-22	Australia	Omicron 21L	128
2022-06-23	Australia	Omicron 21L	164
2022-06-24	Australia	Omicron 21L	84
2022-06-25	Australia	Omicron 21L	77
2022-06-26	Australia	Omicron 21L	174
2022-06-27	Australia	Omicron 21L	112
2022-06-28	Australia	Omicron 21L	63
2022-06-29	Australia	Omicron 21L	45
2022-06-30	Australia	Omicron 21L	103
2022-07-01	Australia	Omicron 21L	77
2022-07-02	Australia	Omicron 21L	72
2022-07-03	Australia	Omicron 21L	115
2022-07-04	Australia	Omicron 21L	75
2022-07-05	Australia	Omicron 21L	54
2022-07-06	Australia	Omicron 21L	28
2022-07-07	Australia	Omicron 21L	81
2022-07-08	Australia	Omicron 21L	48
2022-07-09	Australia	Omicron 21L	62
2022-07-10	Australia	Omicron 21L	43
2022-07-11	Australia	Omicron 21L	48
2022-07-12	Australia	Omicron 21L	29
2022-07-13	Australia	Omicron 21L	36
2022-07-14	Australia	Omicron 21L	32
2022-07-15	Australia	Omicron 21L	19
2022-07-16	Australia	Omicron 21L	15
2022-07-17	Australia	Omicron 21L	18
2022-07-18	Australia	Omicron 21L	26
2022-07-19	Australia	Omicron 21L	22
2022-07-20	Australia	Omicron 21L	20
2022-07-21	Australia	Omicron 21L	24
2022-07-22	Australia	Omicron 21L	10
2022-07-23	Australia	Omicron 21L	15
2022-07-24	Australia	Omicron 21L	16
2022-07-25	Australia	Omicron 21L	22
2022-07-26	Australia	Omicron 21L	32
2022-07-27	Australia	Omicron 21L	30
2022-07-28	Australia	Omicron 21L	11
2022-07-29	Australia	Omicron 21L	14
2022-07-30	Australia	Omicron 21L	11
2022-07-31	Australia	Omicron 21L	3
2022-08-01	Australia	Omicron 21L	10
2022-08-02	Australia	Omicron 21L	22
2022-08-03	Australia	Omicron 21L	4
2022-08-04	Australia	Omicron 21L	8
2022-08-05	Australia	Omicron 21L	6
2022-08-06	Australia	Omicron 21L	6
2022-08-07	Australia	Omicron 21L	4
2022-08-08	Australia	Omicron 21L	16
2022-08-09	Australia	Omicron 21L	11
2022-08-10	Australia	Omicron 21L	11
2022-08-11	Australia	Omicron 21L	2
2022-08-12	Australia	Omicron 21L	2
2022-03-31	Australia	Omicron 22A	1
2022-04-15	Australia	Omicron 22A	2
2022-04-18	Australia	Omicron 22A	1
2022-04-23	Australia	Omicron 22A	4
2022-04-24	Australia	Omicron 22A	1
2022-04-26	Australia	Omicron 22A	1
2022-04-27	Australia	Omicron 22A	3
2022-04-28	Australia	Omicron 22A	2
2022-04-29	Australia	Omicron 22A	1
2022-05-01	Australia	Omicron 22A	1
2022-05-02	Australia	Omicron 22A	2
2022-05-03	Australia	Omicron 22A	4
2022-05-04	Australia	Omicron 22A	2
2022-05-05	Australia	Omicron 22A	3
2022-05-06	Australia	Omicron 22A	4
2022-05-07	Australia	Omicron 22A	4
2022-05-08	Australia	Omicron 22A	3
2022-05-10	Australia	Omicron 22A	3
2022-05-11	Australia	Omicron 22A	3
2022-05-12	Australia	Omicron 22A	5
2022-05-13	Australia	Omicron 22A	3
2022-05-14	Australia	Omicron 22A	11
2022-05-15	Australia	Omicron 22A	7
2022-05-16	Australia	Omicron 22A	9
2022-05-17	Australia	Omicron 22A	7
2022-05-18	Australia	Omicron 22A	10
2022-05-19	Australia	Omicron 22A	11
2022-05-20	Australia	Omicron 22A	13
2022-05-21	Australia	Omicron 22A	5
2022-05-22	Australia	Omicron 22A	13
2022-05-23	Australia	Omicron 22A	12
2022-05-24	Australia	Omicron 22A	6
2022-05-25	Australia	Omicron 22A	20
2022-05-26	Australia	Omicron 22A	19
2022-05-27	Australia	Omicron 22A	18
2022-05-28	Australia	Omicron 22A	12
2022-05-29	Australia	Omicron 22A	18
2022-05-30	Australia	Omicron 22A	23
2022-05-31	Australia	Omicron 22A	29
2022-06-01	Australia	Omicron 22A	22
2022-06-02	Australia	Omicron 22A	29
2022-06-03	Australia	Omicron 22A	25
2022-06-04	Australia	Omicron 22A	12
2022-06-05	Australia	Omicron 22A	34
2022-06-06	Australia	Omicron 22A	39
2022-06-07	Australia	Omicron 22A	31
2022-06-08	Australia	Omicron 22A	27
2022-06-09	Australia	Omicron 22A	35
2022-06-10	Australia	Omicron 22A	12
2022-06-11	Australia	Omicron 22A	10
2022-06-12	Australia	Omicron 22A	27
2022-06-13	Australia	Omicron 22A	24
2022-06-14	Australia	Omicron 22A	38
2022-06-15	Australia	Omicron 22A	25
2022-06-16	Australia	Omicron 22A	40
2022-06-17	Australia	Omicron 22A	38
2022-06-18	Australia	Omicron 22A	40
2022-06-19	Australia	Omicron 22A	38
2022-06-20	Australia	Omicron 22A	35
2022-06-21	Australia	Omicron 22A	36
2022-06-22	Australia	Omicron 22A	49
2022-06-23	Australia	Omicron 22A	54
2022-06-24	Australia	Omicron 22A	26
2022-06-25	Australia	Omicron 22A	21
2022-06-26	Australia	Omicron 22A	57
2022-06-27	Australia	Omicron 22A	60
2022-06-28	Australia	Omicron 22A	28
2022-06-29	Australia	Omicron 22A	24
2022-06-30	Australia	Omicron 22A	51
2022-07-01	Australia	Omicron 22A	41
2022-07-02	Australia	Omicron 22A	67
2022-07-03	Australia	Omicron 22A	71
2022-07-04	Australia	Omicron 22A	51
2022-07-05	Australia	Omicron 22A	38
2022-07-06	Australia	Omicron 22A	30
2022-07-07	Australia	Omicron 22A	65
2022-07-08	Australia	Omicron 22A	39
2022-07-09	Australia	Omicron 22A	24
2022-07-10	Australia	Omicron 22A	60
2022-07-11	Australia	Omicron 22A	49
2022-07-12	Australia	Omicron 22A	43
2022-07-13	Australia	Omicron 22A	44
2022-07-14	Australia	Omicron 22A	49
2022-07-15	Australia	Omicron 22A	31
2022-07-16	Australia	Omicron 22A	32
2022-07-17	Australia	Omicron 22A	38
2022-07-18	Australia	Omicron 22A	35
2022-07-19	Australia	Omicron 22A	19
2022-07-20	Australia	Omicron 22A	29
2022-07-21	Australia	Omicron 22A	39
2022-07-22	Australia	Omicron 22A	23
2022-07-23	Australia	Omicron 22A	38
2022-07-24	Australia	Omicron 22A	48
2022-07-25	Australia	Omicron 22A	31
2022-07-26	Australia	Omicron 22A	29
2022-07-27	Australia	Omicron 22A	30
2022-07-28	Australia	Omicron 22A	39
2022-07-29	Australia	Omicron 22A	19
2022-07-30	Australia	Omicron 22A	24
2022-07-31	Australia	Omicron 22A	17
2022-08-01	Australia	Omicron 22A	44
2022-08-02	Australia	Omicron 22A	38
2022-08-03	Australia	Omicron 22A	16
2022-08-04	Australia	Omicron 22A	39
2022-08-05	Australia	Omicron 22A	15
2022-08-06	Australia	Omicron 22A	16
2022-08-07	Australia	Omicron 22A	27
2022-08-08	Australia	Omicron 22A	24
2022-08-09	Australia	Omicron 22A	11
2022-08-10	Australia	Omicron 22A	18
2022-08-11	Australia	Omicron 22A	36
2022-08-12	Australia	Omicron 22A	3
2022-08-13	Australia	Omicron 22A	4
2022-04-13	Australia	Omicron 22B	1
2022-04-23	Australia	Omicron 22B	2
2022-04-26	Australia	Omicron 22B	1
2022-04-27	Australia	Omicron 22B	1
2022-04-29	Australia	Omicron 22B	1
2022-05-01	Australia	Omicron 22B	1
2022-05-02	Australia	Omicron 22B	1
2022-05-03	Australia	Omicron 22B	2
2022-05-04	Australia	Omicron 22B	4
2022-05-05	Australia	Omicron 22B	5
2022-05-06	Australia	Omicron 22B	1
2022-05-08	Australia	Omicron 22B	1
2022-05-09	Australia	Omicron 22B	1
2022-05-10	Australia	Omicron 22B	1
2022-05-11	Australia	Omicron 22B	3
2022-05-12	Australia	Omicron 22B	2
2022-05-13	Australia	Omicron 22B	3
2022-05-14	Australia	Omicron 22B	3
2022-05-15	Australia	Omicron 22B	4
2022-05-16	Australia	Omicron 22B	6
2022-05-17	Australia	Omicron 22B	13
2022-05-18	Australia	Omicron 22B	9
2022-05-19	Australia	Omicron 22B	11
2022-05-20	Australia	Omicron 22B	7
2022-05-21	Australia	Omicron 22B	8
2022-05-22	Australia	Omicron 22B	8
2022-05-23	Australia	Omicron 22B	18
2022-05-24	Australia	Omicron 22B	17
2022-05-25	Australia	Omicron 22B	17
2022-05-26	Australia	Omicron 22B	13
2022-05-27	Australia	Omicron 22B	20
2022-05-28	Australia	Omicron 22B	17
2022-05-29	Australia	Omicron 22B	28
2022-05-30	Australia	Omicron 22B	40
2022-05-31	Australia	Omicron 22B	48
2022-06-01	Australia	Omicron 22B	23
2022-06-02	Australia	Omicron 22B	53
2022-06-03	Australia	Omicron 22B	44
2022-06-04	Australia	Omicron 22B	35
2022-06-05	Australia	Omicron 22B	66
2022-06-06	Australia	Omicron 22B	30
2022-06-07	Australia	Omicron 22B	47
2022-06-08	Australia	Omicron 22B	25
2022-06-09	Australia	Omicron 22B	58
2022-06-10	Australia	Omicron 22B	46
2022-06-11	Australia	Omicron 22B	30
2022-06-12	Australia	Omicron 22B	42
2022-06-13	Australia	Omicron 22B	52
2022-06-14	Australia	Omicron 22B	94
2022-06-15	Australia	Omicron 22B	48
2022-06-16	Australia	Omicron 22B	107
2022-06-17	Australia	Omicron 22B	79
2022-06-18	Australia	Omicron 22B	66
2022-06-19	Australia	Omicron 22B	142
2022-06-20	Australia	Omicron 22B	113
2022-06-21	Australia	Omicron 22B	143
2022-06-22	Australia	Omicron 22B	87
2022-06-23	Australia	Omicron 22B	149
2022-06-24	Australia	Omicron 22B	86
2022-06-25	Australia	Omicron 22B	105
2022-06-26	Australia	Omicron 22B	161
2022-06-27	Australia	Omicron 22B	202
2022-06-28	Australia	Omicron 22B	159
2022-06-29	Australia	Omicron 22B	106
2022-06-30	Australia	Omicron 22B	216
2022-07-01	Australia	Omicron 22B	216
2022-07-02	Australia	Omicron 22B	209
2022-07-03	Australia	Omicron 22B	329
2022-07-04	Australia	Omicron 22B	214
2022-07-05	Australia	Omicron 22B	148
2022-07-06	Australia	Omicron 22B	148
2022-07-07	Australia	Omicron 22B	296
2022-07-08	Australia	Omicron 22B	165
2022-07-09	Australia	Omicron 22B	161
2022-07-10	Australia	Omicron 22B	246
2022-07-11	Australia	Omicron 22B	265
2022-07-12	Australia	Omicron 22B	221
2022-07-13	Australia	Omicron 22B	196
2022-07-14	Australia	Omicron 22B	237
2022-07-15	Australia	Omicron 22B	179
2022-07-16	Australia	Omicron 22B	183
2022-07-17	Australia	Omicron 22B	224
2022-07-18	Australia	Omicron 22B	252
2022-07-19	Australia	Omicron 22B	207
2022-07-20	Australia	Omicron 22B	202
2022-07-21	Australia	Omicron 22B	245
2022-07-22	Australia	Omicron 22B	183
2022-07-23	Australia	Omicron 22B	189
2022-07-24	Australia	Omicron 22B	250
2022-07-25	Australia	Omicron 22B	201
2022-07-26	Australia	Omicron 22B	148
2022-07-27	Australia	Omicron 22B	141
2022-07-28	Australia	Omicron 22B	195
2022-07-29	Australia	Omicron 22B	100
2022-07-30	Australia	Omicron 22B	188
2022-07-31	Australia	Omicron 22B	153
2022-08-01	Australia	Omicron 22B	242
2022-08-02	Australia	Omicron 22B	234
2022-08-03	Australia	Omicron 22B	195
2022-08-04	Australia	Omicron 22B	212
2022-08-05	Australia	Omicron 22B	138
2022-08-06	Australia	Omicron 22B	167
2022-08-07	Australia	Omicron 22B	200
2022-08-08	Australia	Omicron 22B	204
2022-08-09	Australia	Omicron 22B	137
2022-08-10	Australia	Omicron 22B	101
2022-08-11	Australia	Omicron 22B	188
2022-08-12	Australia	Omicron 22B	41
2022-08-13	Australia	Omicron 22B	23
2022-04-02	Australia	Omicron 22C	2
2022-04-04	Australia	Omicron 22C	1
2022-04-07	Australia	Omicron 22C	1
2022-04-14	Australia	Omicron 22C	1
2022-04-15	Australia	Omicron 22C	1
2022-04-18	Australia	Omicron 22C	2
2022-04-20	Australia	Omicron 22C	1
2022-04-21	Australia	Omicron 22C	2
2022-04-22	Australia	Omicron 22C	1
2022-04-23	Australia	Omicron 22C	1
2022-04-25	Australia	Omicron 22C	4
2022-04-27	Australia	Omicron 22C	2
2022-04-28	Australia	Omicron 22C	1
2022-04-29	Australia	Omicron 22C	1
2022-04-30	Australia	Omicron 22C	6
2022-05-01	Australia	Omicron 22C	2
2022-05-02	Australia	Omicron 22C	4
2022-05-03	Australia	Omicron 22C	1
2022-05-04	Australia	Omicron 22C	1
2022-05-05	Australia	Omicron 22C	7
2022-05-06	Australia	Omicron 22C	5
2022-05-07	Australia	Omicron 22C	3
2022-05-08	Australia	Omicron 22C	1
2022-05-09	Australia	Omicron 22C	9
2022-05-10	Australia	Omicron 22C	3
2022-05-11	Australia	Omicron 22C	5
2022-05-12	Australia	Omicron 22C	5
2022-05-13	Australia	Omicron 22C	5
2022-05-14	Australia	Omicron 22C	2
2022-05-15	Australia	Omicron 22C	5
2022-05-16	Australia	Omicron 22C	12
2022-05-17	Australia	Omicron 22C	3
2022-05-18	Australia	Omicron 22C	11
2022-05-19	Australia	Omicron 22C	9
2022-05-20	Australia	Omicron 22C	7
2022-05-21	Australia	Omicron 22C	5
2022-05-22	Australia	Omicron 22C	9
2022-05-23	Australia	Omicron 22C	15
2022-05-24	Australia	Omicron 22C	13
2022-05-25	Australia	Omicron 22C	13
2022-05-26	Australia	Omicron 22C	13
2022-05-27	Australia	Omicron 22C	9
2022-05-28	Australia	Omicron 22C	4
2022-05-29	Australia	Omicron 22C	17
2022-05-30	Australia	Omicron 22C	18
2022-05-31	Australia	Omicron 22C	21
2022-06-01	Australia	Omicron 22C	14
2022-06-02	Australia	Omicron 22C	20
2022-06-03	Australia	Omicron 22C	14
2022-06-04	Australia	Omicron 22C	6
2022-06-05	Australia	Omicron 22C	15
2022-06-06	Australia	Omicron 22C	13
2022-06-07	Australia	Omicron 22C	28
2022-06-08	Australia	Omicron 22C	4
2022-06-09	Australia	Omicron 22C	16
2022-06-10	Australia	Omicron 22C	3
2022-06-11	Australia	Omicron 22C	9
2022-06-12	Australia	Omicron 22C	7
2022-06-13	Australia	Omicron 22C	9
2022-06-14	Australia	Omicron 22C	18
2022-06-15	Australia	Omicron 22C	15
2022-06-16	Australia	Omicron 22C	12
2022-06-17	Australia	Omicron 22C	17
2022-06-18	Australia	Omicron 22C	9
2022-06-19	Australia	Omicron 22C	13
2022-06-20	Australia	Omicron 22C	19
2022-06-21	Australia	Omicron 22C	16
2022-06-22	Australia	Omicron 22C	20
2022-06-23	Australia	Omicron 22C	22
2022-06-24	Australia	Omicron 22C	12
2022-06-25	Australia	Omicron 22C	10
2022-06-26	Australia	Omicron 22C	7
2022-06-27	Australia	Omicron 22C	22
2022-06-28	Australia	Omicron 22C	8
2022-06-29	Australia	Omicron 22C	12
2022-06-30	Australia	Omicron 22C	12
2022-07-01	Australia	Omicron 22C	15
2022-07-02	Australia	Omicron 22C	10
2022-07-03	Australia	Omicron 22C	15
2022-07-04	Australia	Omicron 22C	10
2022-07-05	Australia	Omicron 22C	11
2022-07-06	Australia	Omicron 22C	5
2022-07-07	Australia	Omicron 22C	10
2022-07-08	Australia	Omicron 22C	7
2022-07-09	Australia	Omicron 22C	5
2022-07-10	Australia	Omicron 22C	9
2022-07-11	Australia	Omicron 22C	12
2022-07-12	Australia	Omicron 22C	3
2022-07-13	Australia	Omicron 22C	4
2022-07-14	Australia	Omicron 22C	4
2022-07-15	Australia	Omicron 22C	3
2022-07-16	Australia	Omicron 22C	9
2022-07-17	Australia	Omicron 22C	4
2022-07-18	Australia	Omicron 22C	5
2022-07-20	Australia	Omicron 22C	5
2022-07-21	Australia	Omicron 22C	4
2022-07-22	Australia	Omicron 22C	1
2022-07-23	Australia	Omicron 22C	3
2022-07-25	Australia	Omicron 22C	2
2022-07-26	Australia	Omicron 22C	6
2022-07-27	Australia	Omicron 22C	4
2022-07-28	Australia	Omicron 22C	2
2022-07-29	Australia	Omicron 22C	3
2022-07-30	Australia	Omicron 22C	3
2022-08-01	Australia	Omicron 22C	5
2022-08-02	Australia	Omicron 22C	3
2022-08-08	Australia	Omicron 22C	1
2022-08-09	Australia	Omicron 22C	6
2022-08-10	Australia	Omicron 22C	3
2022-08-11	Australia	Omicron 22C	2
2022-08-12	Australia	Omicron 22C	1
2022-06-04	Australia	Omicron 22D	1
2022-06-28	Australia	Omicron 22D	1
2022-07-01	Australia	Omicron 22D	2
2022-07-02	Australia	Omicron 22D	1
2022-07-04	Australia	Omicron 22D	2
2022-07-06	Australia	Omicron 22D	1
2022-07-08	Australia	Omicron 22D	1
2022-07-11	Australia	Omicron 22D	3
2022-07-12	Australia	Omicron 22D	1
2022-07-14	Australia	Omicron 22D	3
2022-07-15	Australia	Omicron 22D	2
2022-07-16	Australia	Omicron 22D	1
2022-07-18	Australia	Omicron 22D	1
2022-07-19	Australia	Omicron 22D	1
2022-07-23	Australia	Omicron 22D	2
2022-07-24	Australia	Omicron 22D	1
2022-07-25	Australia	Omicron 22D	4
2022-07-26	Australia	Omicron 22D	3
2022-07-27	Australia	Omicron 22D	3
2022-07-28	Australia	Omicron 22D	1
2022-07-29	Australia	Omicron 22D	6
2022-07-30	Australia	Omicron 22D	3
2022-07-31	Australia	Omicron 22D	2
2022-08-01	Australia	Omicron 22D	3
2022-08-02	Australia	Omicron 22D	5
2022-08-03	Australia	Omicron 22D	1
2022-08-04	Australia	Omicron 22D	1
2022-08-05	Australia	Omicron 22D	7
2022-08-06	Australia	Omicron 22D	6
2022-08-07	Australia	Omicron 22D	3
2022-08-08	Australia	Omicron 22D	2
2022-08-09	Australia	Omicron 22D	8
2022-08-10	Australia	Omicron 22D	7
2022-08-11	Australia	Omicron 22D	3
2022-03-29	Austria	other	2
2022-03-30	Austria	other	2
2022-03-31	Austria	other	1
2022-04-04	Austria	other	1
2022-04-06	Austria	other	2
2022-04-12	Austria	other	1
2022-04-19	Austria	other	1
2022-04-21	Austria	other	1
2022-04-25	Austria	other	1
2022-04-26	Austria	other	1
2022-05-03	Austria	other	1
2022-05-09	Austria	other	1
2022-05-13	Austria	other	3
2022-05-17	Austria	other	4
2022-05-24	Austria	other	3
2022-06-01	Austria	other	2
2022-06-06	Austria	other	1
2022-06-07	Austria	other	2
2022-06-08	Austria	other	1
2022-06-12	Austria	other	1
2022-06-13	Austria	other	1
2022-06-14	Austria	other	1
2022-06-18	Austria	other	2
2022-06-25	Austria	other	1
2022-06-26	Austria	other	1
2022-06-27	Austria	other	1
2022-07-08	Austria	other	1
2022-07-26	Austria	other	1
2022-08-09	Austria	other	1
2022-08-10	Austria	other	1
2022-04-19	Austria	Delta	1
2022-05-10	Austria	Delta	2
2022-05-11	Austria	Delta	1
2022-05-22	Austria	Delta	2
2022-07-19	Austria	Delta	1
2022-03-27	Austria	Omicron 21K	4
2022-03-28	Austria	Omicron 21K	4
2022-03-29	Austria	Omicron 21K	5
2022-03-30	Austria	Omicron 21K	22
2022-03-31	Austria	Omicron 21K	20
2022-04-02	Austria	Omicron 21K	2
2022-04-03	Austria	Omicron 21K	1
2022-04-04	Austria	Omicron 21K	8
2022-04-05	Austria	Omicron 21K	8
2022-04-06	Austria	Omicron 21K	10
2022-04-07	Austria	Omicron 21K	1
2022-04-08	Austria	Omicron 21K	7
2022-04-10	Austria	Omicron 21K	2
2022-04-12	Austria	Omicron 21K	6
2022-04-13	Austria	Omicron 21K	9
2022-04-15	Austria	Omicron 21K	2
2022-04-19	Austria	Omicron 21K	1
2022-04-20	Austria	Omicron 21K	5
2022-04-21	Austria	Omicron 21K	2
2022-04-25	Austria	Omicron 21K	2
2022-04-26	Austria	Omicron 21K	2
2022-05-02	Austria	Omicron 21K	2
2022-05-03	Austria	Omicron 21K	4
2022-05-10	Austria	Omicron 21K	1
2022-05-11	Austria	Omicron 21K	1
2022-05-17	Austria	Omicron 21K	1
2022-05-23	Austria	Omicron 21K	2
2022-05-24	Austria	Omicron 21K	1
2022-05-31	Austria	Omicron 21K	4
2022-06-02	Austria	Omicron 21K	1
2022-06-06	Austria	Omicron 21K	2
2022-06-17	Austria	Omicron 21K	2
2022-06-18	Austria	Omicron 21K	1
2022-07-08	Austria	Omicron 21K	1
2022-07-11	Austria	Omicron 21K	1
2022-07-20	Austria	Omicron 21K	1
2022-07-25	Austria	Omicron 21K	6
2022-07-26	Austria	Omicron 21K	5
2022-07-27	Austria	Omicron 21K	1
2022-08-01	Austria	Omicron 21K	2
