date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2021-09-01	Germany	Delta	-0.02683788	0.99553585	0.013358691	-0.07503523	-0.0014604997	-0.05860959	-0.015457344	-0.045226306
2021-09-02	Germany	Delta	-0.027376683	0.99553585	0.0062354654	-0.06802439	-0.00646134	-0.05471869	-0.017233232	-0.042328056
2021-09-03	Germany	Delta	-0.028070906	0.995536	0.00501744	-0.06273767	-0.0070970347	-0.0518004	-0.0187589	-0.042272724
2021-09-04	Germany	Delta	-0.027796095	0.9955427	0.002712216	-0.06256295	-0.008620366	-0.050524708	-0.018560937	-0.040715087
2021-09-05	Germany	Delta	-0.027213272	0.99558043	0.002109474	-0.059754208	-0.009170974	-0.048707135	-0.019243848	-0.04002689
2021-09-06	Germany	Delta	-0.02648499	0.99569476	0.0014290223	-0.05812624	-0.009120684	-0.04729619	-0.017739207	-0.03764457
2021-09-07	Germany	Delta	-0.025571655	0.995849	0.0010535074	-0.05535328	-0.00888817	-0.045809254	-0.019517306	-0.039023057
2021-09-08	Germany	Delta	-0.024366908	0.99600786	0.0010232597	-0.05289522	-0.0084610125	-0.04386245	-0.018441299	-0.03679333
2021-09-09	Germany	Delta	-0.023203108	0.996137	0.0012802427	-0.050150912	-0.0071985987	-0.04069566	-0.014577085	-0.03180331
2021-09-10	Germany	Delta	-0.021790562	0.99624157	0.0018156035	-0.047034655	-0.005754452	-0.03736607	-0.01378511	-0.030176446
2021-09-11	Germany	Delta	-0.020592209	0.9963355	0.0012890957	-0.045287292	-0.006053856	-0.036342196	-0.013381561	-0.02914212
2021-09-12	Germany	Delta	-0.0191263	0.99643433	0.0015519807	-0.042604957	-0.0058340062	-0.03490887	-0.01103613	-0.025799127
2021-09-13	Germany	Delta	-0.017911226	0.9965472	0.0026372115	-0.039424885	-0.0042435396	-0.031753264	-0.01045552	-0.02458602
2021-09-14	Germany	Delta	-0.016473103	0.9966512	0.0029613297	-0.037666086	-0.0033813554	-0.029395415	-0.010167305	-0.023992747
2021-09-15	Germany	Delta	-0.015244135	0.99675536	0.003424391	-0.0361205	-0.0039224955	-0.029141014	-0.009919299	-0.023587722
2021-09-16	Germany	Delta	-0.013884829	0.99685174	0.0031206838	-0.03571437	-0.002759432	-0.027041867	-0.0063069044	-0.019052524
2021-09-17	Germany	Delta	-0.01248335	0.9969423	0.0054224646	-0.031754617	-0.0018679837	-0.02538021	-0.006747833	-0.019026825
2021-09-18	Germany	Delta	-0.01113671	0.9970318	0.0068114027	-0.029026909	-0.0004797836	-0.023553785	-0.0057221144	-0.017827982
2021-09-19	Germany	Delta	-0.009578704	0.99712443	0.0077785933	-0.028048774	0.0012566347	-0.021209951	-0.0037767896	-0.015726622
2021-09-20	Germany	Delta	-0.008216571	0.99721146	0.008521262	-0.026795706	0.0030348587	-0.019370863	-0.0008625531	-0.012783491
2021-09-21	Germany	Delta	-0.006746235	0.99729353	0.009215485	-0.025178926	0.0042049307	-0.018240016	-7.943111e-05	-0.012099474
2021-09-22	Germany	Delta	-0.005444228	0.9973731	0.0109211635	-0.023719655	0.0060200426	-0.016798574	0.0003430539	-0.011576654
2021-09-23	Germany	Delta	-0.003948563	0.9974502	0.013630428	-0.021880813	0.0074940673	-0.0151694985	0.0007453737	-0.01120655
2021-09-24	Germany	Delta	-0.0026967232	0.9975255	0.014867881	-0.021043466	0.009548211	-0.013261431	0.0023610468	-0.009989385
2021-09-25	Germany	Delta	-0.0010173577	0.9976038	0.016975142	-0.020269321	0.011354715	-0.012069349	0.0060225017	-0.006420026
2021-09-26	Germany	Delta	0.00089120236	0.99767643	0.019250365	-0.018806608	0.012674305	-0.011907536	0.0057628136	-0.0068975966
2021-09-27	Germany	Delta	0.0028499295	0.99774766	0.021129169	-0.01839728	0.013865033	-0.011750517	0.007913356	-0.0049437876
2021-09-28	Germany	Delta	0.0050897393	0.9978169	0.024771197	-0.014488064	0.017234584	-0.008423141	0.011318074	-0.0016503474
2021-09-29	Germany	Delta	0.0074935756	0.9978831	0.02666377	-0.012820871	0.019188639	-0.006608767	0.014360555	0.001161219
2021-09-30	Germany	Delta	0.009909708	0.99794644	0.028858332	-0.010992602	0.022499662	-0.0032922106	0.015771134	0.002275222
2021-10-01	Germany	Delta	0.012429617	0.9980055	0.030660903	-0.009667972	0.024039593	-0.0023444474	0.017695433	0.0039971313
2021-10-02	Germany	Delta	0.014867144	0.99806464	0.034185134	-0.0057924464	0.027525464	0.0011929423	0.020567004	0.0066790995
2021-10-03	Germany	Delta	0.017079165	0.9981216	0.037029408	-0.0032688486	0.029548867	0.0028359122	0.021747157	0.007743919
2021-10-04	Germany	Delta	0.01925848	0.99817765	0.040377073	-0.00045715927	0.03230461	0.0056120665	0.024582578	0.010654098
2021-10-05	Germany	Delta	0.021488944	0.9982296	0.042209644	0.0015050106	0.03499986	0.008412813	0.027851304	0.014075538
2021-10-06	Germany	Delta	0.02335496	0.9982836	0.043378487	0.0028590283	0.03558022	0.008913991	0.030668033	0.017168432
2021-10-07	Germany	Delta	0.025361396	0.99833524	0.043944836	0.0028223868	0.03732869	0.010515647	0.033075806	0.01934578
2021-10-08	Germany	Delta	0.027254218	0.9983809	0.046868786	0.0064299856	0.04019485	0.013782159	0.033513784	0.019569565
2021-10-09	Germany	Delta	0.028956946	0.99842894	0.048915796	0.008370515	0.041553292	0.014750825	0.0358977	0.021912659
2021-10-10	Germany	Delta	0.030779188	0.99847555	0.049730517	0.008988749	0.04291272	0.016030576	0.038609914	0.024820626
2021-10-11	Germany	Delta	0.0323624	0.9985226	0.051834337	0.011518495	0.044382565	0.01747829	0.039230857	0.025593296
2021-10-12	Germany	Delta	0.033897165	0.99856734	0.055189624	0.014394	0.045892987	0.019086093	0.039428573	0.025715517
2021-10-13	Germany	Delta	0.035431933	0.99861085	0.05679005	0.015833352	0.048423223	0.021995533	0.040737342	0.027183393
2021-10-14	Germany	Delta	0.03685161	0.9986514	0.058031194	0.017190812	0.05047073	0.024353629	0.04489186	0.031274464
2021-10-15	Germany	Delta	0.037845362	0.9986901	0.05822596	0.017558703	0.050984446	0.024947273	0.044446997	0.031040598
2021-10-16	Germany	Delta	0.039163966	0.998726	0.05896961	0.018712053	0.050813045	0.024812018	0.045434598	0.032086972
2021-10-17	Germany	Delta	0.040134355	0.9987626	0.058825504	0.018622538	0.051888436	0.025944464	0.04644138	0.03294965
2021-10-18	Germany	Delta	0.041094165	0.9987985	0.061448205	0.022150215	0.05331574	0.02752866	0.047175445	0.033905774
2021-10-19	Germany	Delta	0.042142756	0.9988328	0.06103974	0.022182183	0.05326385	0.027382586	0.047648832	0.034245387
2021-10-20	Germany	Delta	0.04315175	0.998864	0.062529504	0.024445357	0.05536275	0.030032339	0.04863668	0.035153065
2021-10-21	Germany	Delta	0.04399033	0.9988948	0.0631529	0.024888007	0.057047773	0.031940654	0.04831625	0.034772877
2021-10-22	Germany	Delta	0.045071624	0.99892354	0.0636981	0.02617784	0.058351867	0.0335819	0.049699288	0.036728162
2021-10-23	Germany	Delta	0.046208743	0.99895155	0.06488391	0.027740886	0.059189953	0.034535322	0.051800646	0.03901002
2021-10-24	Germany	Delta	0.047451362	0.9989774	0.066939525	0.0304322	0.058650658	0.034271944	0.053311065	0.04077546
2021-10-25	Germany	Delta	0.04850364	0.9990015	0.06733841	0.031340126	0.061229587	0.037220977	0.055258237	0.04286034
2021-10-26	Germany	Delta	0.04950575	0.9990238	0.0669078	0.031763103	0.060557004	0.0368944	0.05518151	0.042891573
2021-10-27	Germany	Delta	0.05026047	0.9990436	0.06677599	0.031892207	0.060343057	0.036862187	0.055320945	0.043227494
2021-10-28	Germany	Delta	0.050549176	0.9990635	0.067668915	0.03274505	0.062214483	0.039422918	0.055249874	0.043338895
2021-10-29	Germany	Delta	0.05063008	0.9990815	0.06813271	0.032998588	0.06072841	0.03793561	0.05668603	0.045053918
2021-10-30	Germany	Delta	0.050402854	0.99909556	0.06739939	0.032242887	0.061420664	0.038858045	0.05652618	0.044649877
2021-10-31	Germany	Delta	0.0502617	0.999105	0.06575593	0.029872986	0.06032707	0.037043672	0.057300575	0.045296393
2021-11-01	Germany	Delta	0.049765192	0.99911237	0.06617251	0.03100912	0.06123352	0.03805439	0.055926144	0.04363129
2021-11-02	Germany	Delta	0.049266227	0.9991144	0.06673542	0.031769004	0.060897846	0.037805032	0.055029534	0.04271894
2021-11-03	Germany	Delta	0.048470195	0.99911475	0.065736994	0.03126217	0.05974253	0.03665906	0.05548669	0.043280367
2021-11-04	Germany	Delta	0.047822695	0.9991122	0.06527467	0.031220855	0.05806808	0.035212822	0.053579606	0.04151542
2021-11-05	Germany	Delta	0.047075108	0.9991025	0.063894585	0.029963728	0.057994552	0.035765644	0.05236527	0.040617827
2021-11-06	Germany	Delta	0.046364408	0.9990862	0.06364867	0.030179398	0.056963667	0.034993954	0.05119323	0.039654817
2021-11-07	Germany	Delta	0.04540017	0.999068	0.061441813	0.027851796	0.05591803	0.033675104	0.049624775	0.038141444
2021-11-08	Germany	Delta	0.0444738	0.9990436	0.060301006	0.026713446	0.055050436	0.032964896	0.04905572	0.037383284
2021-11-09	Germany	Delta	0.04343087	0.9990095	0.06065414	0.026432117	0.05393889	0.031134292	0.04847708	0.036606923
2021-11-10	Germany	Delta	0.042149395	0.9989686	0.059620798	0.024241736	0.052072383	0.028356662	0.04844831	0.0363224
2021-11-11	Germany	Delta	0.040818494	0.99891484	0.059238397	0.022118492	0.05278751	0.028099924	0.046607867	0.033838145
2021-11-12	Germany	Delta	0.03940595	0.99885106	0.058967642	0.020070005	0.05098912	0.0247498	0.04507974	0.03142718
2021-11-13	Germany	Delta	0.037924055	0.9987689	0.058326785	0.017507307	0.051514644	0.024416093	0.044766933	0.030448431
2021-11-14	Germany	Delta	0.036445357	0.99867094	0.05783987	0.015655307	0.04902818	0.020625286	0.045042854	0.030262271
2021-11-15	Germany	Delta	0.034841243	0.998554	0.056096073	0.012449782	0.048328545	0.01876222	0.041689284	0.026153494
2021-11-16	Germany	Delta	0.03331582	0.9984228	0.05415751	0.008814886	0.04661475	0.015760314	0.041110642	0.024930058
2021-11-17	Germany	Delta	0.03167408	0.9982649	0.05459303	0.0073342216	0.0457147	0.013484108	0.040155258	0.02344546
2021-11-18	Germany	Delta	0.030467367	0.99807525	0.054566965	0.0043273973	0.045065723	0.011129209	0.038709514	0.021290245
2021-11-19	Germany	Delta	0.029168926	0.9978515	0.05420645	0.0011762199	0.043912128	0.008265017	0.037179664	0.019213723
2021-11-20	Germany	Delta	0.027767938	0.9975968	0.05358723	-0.0028812839	0.04425051	0.0072375764	0.037293524	0.018672952
2021-11-21	Germany	Delta	0.026856815	0.9972856	0.0552875	-0.0036021888	0.042744268	0.0034226696	0.037626494	0.017735517
2021-11-22	Germany	Delta	0.025953563	0.99692214	0.053928807	-0.008809107	0.04462209	0.003432752	0.03598746	0.0146276215
2021-11-23	Germany	Delta	0.025670514	0.99650824	0.056932684	-0.009682235	0.044648156	0.0010372769	0.03702203	0.014288748
2021-11-24	Germany	Delta	0.025024982	0.9960157	0.056677666	-0.015453901	0.04699666	0.0007554563	0.035458248	0.010520319
2021-11-25	Germany	Delta	0.02442765	0.9954527	0.060305677	-0.016750744	0.04612464	-0.004136443	0.036055088	0.00909892
2021-11-26	Germany	Delta	0.024284527	0.9948026	0.062122017	-0.020589136	0.048513968	-0.0049397303	0.035538908	0.0065256474
2021-11-27	Germany	Delta	0.023956966	0.9940351	0.06483768	-0.024576921	0.049917415	-0.007581491	0.037079822	0.0066136853
2021-11-28	Germany	Delta	0.023502758	0.9931476	0.0682119	-0.026801977	0.052626926	-0.008667951	0.036262885	0.0035281677
2021-11-29	Germany	Delta	0.023373159	0.99211794	0.068169355	-0.035815563	0.055247415	-0.009235773	0.03623682	0.0008860381
2021-11-30	Germany	Delta	0.023293482	0.9909109	0.071184546	-0.04161059	0.05625272	-0.013580999	0.03714843	-0.00066963135
2021-12-01	Germany	Delta	0.023660144	0.9895296	0.07916897	-0.038768902	0.056283217	-0.020629097	0.040190425	0.00015468165
2021-12-02	Germany	Delta	0.024325594	0.9879303	0.08285969	-0.048009347	0.060452733	-0.023085805	0.03789946	-0.00751952
2021-12-03	Germany	Delta	0.026013322	0.98608094	0.09357551	-0.059868313	0.06746358	-0.032559626	0.03756403	-0.01776515
2021-09-01	Germany	Omicron	0.11958096	1.759068e-08	0.19046524	0.046968874	0.1622121	0.067652196	0.13852148	0.08804558
2021-09-02	Germany	Omicron	0.11888035	1.759068e-08	0.1868033	0.052497573	0.15802267	0.06925828	0.13256487	0.08368031
2021-09-03	Germany	Omicron	0.11891527	1.7595346e-08	0.1836922	0.05028383	0.15743788	0.06928213	0.13121627	0.08333922
2021-09-04	Germany	Omicron	0.118970595	1.7828059e-08	0.18276215	0.050611638	0.15368913	0.06461758	0.13304588	0.08656073
2021-09-05	Germany	Omicron	0.11957531	1.9268164e-08	0.18209817	0.05185696	0.15501781	0.06768638	0.13210674	0.085937336
2021-09-06	Germany	Omicron	0.12019428	2.2683484e-08	0.18273829	0.053939875	0.15503946	0.06830412	0.13531299	0.08999004
2021-09-07	Germany	Omicron	0.12117327	2.783138e-08	0.18360417	0.058405723	0.15530062	0.06901875	0.13452238	0.08863258
2021-09-08	Germany	Omicron	0.12260107	3.3233192e-08	0.18239179	0.058006108	0.15784709	0.073276065	0.13849442	0.09398816
2021-09-09	Germany	Omicron	0.12428535	3.811072e-08	0.18163978	0.058254976	0.15847835	0.07496748	0.13910429	0.09484272
2021-09-10	Germany	Omicron	0.12569003	4.3005407e-08	0.18250541	0.059781875	0.1611795	0.07910601	0.14048979	0.09620559
2021-09-11	Germany	Omicron	0.12704232	4.9117844e-08	0.18503343	0.06423739	0.16045946	0.07896117	0.14466594	0.10168068
2021-09-12	Germany	Omicron	0.12839141	5.6862476e-08	0.18513155	0.06472874	0.16446619	0.08492588	0.14469054	0.10178446
2021-09-13	Germany	Omicron	0.12972282	6.654784e-08	0.18441224	0.06370793	0.16346653	0.083928935	0.14459586	0.10176159
2021-09-14	Germany	Omicron	0.1311307	7.767616e-08	0.18610539	0.06686083	0.16324864	0.08310732	0.1464786	0.10414796
2021-09-15	Germany	Omicron	0.13236248	9.001825e-08	0.18710233	0.06856971	0.1675008	0.08938952	0.14705601	0.10492309
2021-09-16	Germany	Omicron	0.13399094	1.0376183e-07	0.18837863	0.06975872	0.16869128	0.091395706	0.14969052	0.108054355
2021-09-17	Germany	Omicron	0.13549793	1.1988192e-07	0.18837151	0.0697329	0.1700866	0.093551904	0.15398005	0.113957584
2021-09-18	Germany	Omicron	0.13724196	1.3940065e-07	0.18748154	0.068564296	0.17208321	0.095315374	0.15683292	0.11718401
2021-09-19	Germany	Omicron	0.13871993	1.6244704e-07	0.18971987	0.072714634	0.17543063	0.09962186	0.15511839	0.1150015
2021-09-20	Germany	Omicron	0.13993622	1.8938891e-07	0.19197764	0.07661291	0.17710286	0.101580836	0.15802684	0.117794625
2021-09-21	Germany	Omicron	0.14161117	2.1962884e-07	0.19368945	0.07948841	0.17653675	0.09981934	0.1581171	0.11725779
2021-09-22	Germany	Omicron	0.14317963	2.545273e-07	0.19648504	0.08239097	0.18100826	0.10515327	0.1594544	0.11874386
2021-09-23	Germany	Omicron	0.1445634	2.9507606e-07	0.19725254	0.08161141	0.18031822	0.10286379	0.16251434	0.122309655
2021-09-24	Germany	Omicron	0.14613357	3.4153854e-07	0.19983566	0.0835426	0.18257992	0.10547395	0.16104056	0.1205243
2021-09-25	Germany	Omicron	0.14813067	3.9768344e-07	0.2024768	0.08648868	0.1833949	0.10530279	0.16362244	0.12366146
2021-09-26	Germany	Omicron	0.15003873	4.6034e-07	0.20286289	0.08592455	0.18312266	0.10341685	0.16671017	0.12714241
2021-09-27	Germany	Omicron	0.1519146	5.3568886e-07	0.20365646	0.08445421	0.18606284	0.10580028	0.16926402	0.12916557
2021-09-28	Germany	Omicron	0.15384872	6.215904e-07	0.20562847	0.08551657	0.19058943	0.11088928	0.16731267	0.12584765
2021-09-29	Germany	Omicron	0.15659758	7.2337446e-07	0.20716742	0.08578954	0.19475771	0.11591828	0.17276144	0.13173687
2021-09-30	Germany	Omicron	0.15931053	8.401153e-07	0.21235208	0.0916549	0.19690679	0.11748231	0.17327616	0.1312148
2021-10-01	Germany	Omicron	0.16226277	9.73862e-07	0.2149942	0.0930581	0.19859156	0.118434004	0.17948161	0.13790964
2021-10-02	Germany	Omicron	0.16494547	1.1323527e-06	0.21853222	0.0955753	0.20110507	0.12077317	0.1754203	0.13194837
2021-10-03	Germany	Omicron	0.16759276	1.318362e-06	0.22052708	0.09589721	0.20611662	0.12633826	0.18418035	0.14201029
2021-10-04	Germany	Omicron	0.1699307	1.5318717e-06	0.22364654	0.09856442	0.20706168	0.12622833	0.1869624	0.14476407
2021-10-05	Germany	Omicron	0.17184615	1.7792913e-06	0.22694035	0.103202656	0.20985332	0.12893736	0.18454331	0.14140977
2021-10-06	Germany	Omicron	0.17388086	2.073577e-06	0.2289935	0.10561363	0.21081461	0.12881489	0.1869088	0.14399853
2021-10-07	Germany	Omicron	0.17566106	2.416094e-06	0.23160589	0.10818469	0.214208	0.1328762	0.18899342	0.14600545
2021-10-08	Germany	Omicron	0.17773044	2.808491e-06	0.23305556	0.10870529	0.2100348	0.125105	0.1930031	0.1507123
2021-10-09	Germany	Omicron	0.17970687	3.2680744e-06	0.23540923	0.11054893	0.21408063	0.13071115	0.19645037	0.15482993
2021-10-10	Germany	Omicron	0.1818948	3.8051658e-06	0.23760822	0.11364453	0.21633077	0.13340124	0.20050873	0.15905502
2021-10-11	Germany	Omicron	0.18375196	4.4307267e-06	0.24040946	0.11849696	0.21819507	0.13496403	0.2016761	0.15978417
2021-10-12	Germany	Omicron	0.18512565	5.1579145e-06	0.2416474	0.12094556	0.22176898	0.13981351	0.2051927	0.16347022
2021-10-13	Germany	Omicron	0.18663263	6.00831e-06	0.24290036	0.1216533	0.22386222	0.14223383	0.20546493	0.16328603
2021-10-14	Germany	Omicron	0.18803878	6.974725e-06	0.24658345	0.1259448	0.22357252	0.14100228	0.20443822	0.16147584
2021-10-15	Germany	Omicron	0.1894287	8.1149e-06	0.24786025	0.12590274	0.22522041	0.14236268	0.2051455	0.16240121
2021-10-16	Germany	Omicron	0.19074461	9.441885e-06	0.24919902	0.12633114	0.22591858	0.1425582	0.20440626	0.16112246
2021-10-17	Germany	Omicron	0.1916845	1.0979209e-05	0.2502134	0.12616244	0.22785811	0.14444856	0.20483564	0.16130885
2021-10-18	Germany	Omicron	0.19264136	1.2771399e-05	0.25158465	0.12649147	0.228784	0.14489834	0.20468685	0.16111925
2021-10-19	Germany	Omicron	0.19403128	1.4854385e-05	0.25405613	0.1293596	0.23170523	0.14871669	0.20797107	0.16500302
2021-10-20	Germany	Omicron	0.19508356	1.7282522e-05	0.25388962	0.12821068	0.23095272	0.14705428	0.21098453	0.16841708
2021-10-21	Germany	Omicron	0.19640167	2.0046577e-05	0.25499332	0.13066098	0.23302606	0.14946133	0.21151842	0.16893892
2021-10-22	Germany	Omicron	0.19760051	2.3310891e-05	0.2543628	0.1302567	0.23457459	0.1520346	0.21167187	0.16900925
2021-10-23	Germany	Omicron	0.19879322	2.7203154e-05	0.2579556	0.13751936	0.2380831	0.15752296	0.21193132	0.16965306
2021-10-24	Germany	Omicron	0.20003854	3.1759897e-05	0.2565972	0.13556826	0.23446418	0.15294154	0.21429089	0.17231412
2021-10-25	Germany	Omicron	0.20094794	3.69868e-05	0.25620025	0.13470829	0.23662062	0.15666668	0.21573639	0.17394726
2021-10-26	Germany	Omicron	0.20167683	4.292265e-05	0.25729707	0.13640413	0.23936677	0.16086105	0.21643971	0.17436826
2021-10-27	Germany	Omicron	0.20237696	4.983794e-05	0.2571906	0.13640389	0.24003	0.1615801	0.2158886	0.17353559
2021-10-28	Germany	Omicron	0.20268829	5.830499e-05	0.2579571	0.13800603	0.23966777	0.16062841	0.21739756	0.1752462
2021-10-29	Germany	Omicron	0.20294034	6.80012e-05	0.25913233	0.13995542	0.23814948	0.1570695	0.21752149	0.17504479
2021-10-30	Germany	Omicron	0.2028228	7.901235e-05	0.25738263	0.1369594	0.23895364	0.15798554	0.2180935	0.17546432
2021-10-31	Germany	Omicron	0.20242515	9.215789e-05	0.25767282	0.13650101	0.23755929	0.15533653	0.21729574	0.17452984
2021-11-01	Germany	Omicron	0.20190333	0.000107145665	0.26098016	0.14202751	0.23740289	0.15458255	0.21699204	0.17392759
2021-11-02	Germany	Omicron	0.20135517	0.00012499087	0.2554249	0.13171498	0.23662505	0.15372503	0.2193184	0.17728582
2021-11-03	Germany	Omicron	0.2005557	0.00014501243	0.25553948	0.13266791	0.23861721	0.15739189	0.21865198	0.17644897
2021-11-04	Germany	Omicron	0.20020232	0.00016928397	0.2543549	0.13155736	0.23683088	0.15495068	0.21881747	0.17659037
2021-11-05	Germany	Omicron	0.1992843	0.00019708576	0.2549087	0.13350059	0.23452467	0.15200017	0.21670677	0.17420769
2021-11-06	Germany	Omicron	0.19837737	0.00023002196	0.25529897	0.13608985	0.23517954	0.15382315	0.21557187	0.17320877
2021-11-07	Germany	Omicron	0.19758797	0.0002677375	0.25440288	0.13650937	0.22883514	0.14530878	0.21258348	0.16997422
2021-11-08	Germany	Omicron	0.19644594	0.00031151832	0.25220165	0.1333614	0.22858234	0.14654967	0.21134382	0.16928935
2021-11-09	Germany	Omicron	0.1952734	0.00036465348	0.25341895	0.13654995	0.22703084	0.14490104	0.21167901	0.17003447
2021-11-10	Germany	Omicron	0.1941262	0.00042382118	0.24991561	0.1314125	0.22727136	0.1460785	0.20878457	0.1670601
2021-11-11	Germany	Omicron	0.19258529	0.00049297744	0.2463063	0.1252459	0.22660074	0.14556797	0.21255963	0.17184688
2021-11-12	Germany	Omicron	0.19100429	0.0005756266	0.24719873	0.1277154	0.22606464	0.14605783	0.20999914	0.16879137
2021-11-13	Germany	Omicron	0.189125	0.0006704703	0.24677871	0.12726414	0.22755343	0.14851086	0.20962314	0.1684547
2021-11-14	Germany	Omicron	0.18754843	0.0007802477	0.24399026	0.12252754	0.22621736	0.1466805	0.20079006	0.15787856
2021-11-15	Germany	Omicron	0.18602128	0.00090604846	0.24231999	0.119306274	0.2216138	0.14008623	0.20161732	0.15918389
2021-11-16	Germany	Omicron	0.18440413	0.0010542679	0.24068317	0.11633511	0.22229351	0.14037101	0.19821654	0.15513757
2021-11-17	Germany	Omicron	0.18284182	0.0012312445	0.24013993	0.11663242	0.22073145	0.13802718	0.19801931	0.15540095
2021-11-18	Germany	Omicron	0.180964	0.0014357344	0.24056217	0.117151305	0.21875526	0.13514996	0.19677374	0.15429187
2021-11-19	Germany	Omicron	0.17946514	0.0016716602	0.2398146	0.11598222	0.21811588	0.13430794	0.19306433	0.14974192
2021-11-20	Germany	Omicron	0.1780125	0.0019471594	0.23712082	0.11189778	0.21633913	0.13106945	0.19398677	0.15095773
2021-11-21	Germany	Omicron	0.17670275	0.0022752024	0.23613493	0.10992578	0.21688408	0.13239594	0.19258234	0.1486284
2021-11-22	Germany	Omicron	0.17571491	0.0026410455	0.2348419	0.10609415	0.21305564	0.12582873	0.1941771	0.15034196
2021-11-23	Germany	Omicron	0.174791	0.003073162	0.23540702	0.10562174	0.21561146	0.12938567	0.19270678	0.14770499
2021-11-24	Germany	Omicron	0.17428392	0.0035647585	0.23581058	0.10403558	0.21031146	0.120323874	0.18863414	0.14171396
2021-11-25	Germany	Omicron	0.17375569	0.0041364487	0.23613788	0.10028191	0.21307261	0.12292715	0.19205952	0.14480244
2021-11-26	Germany	Omicron	0.17343083	0.0048151696	0.2385336	0.098167025	0.2133473	0.11997123	0.19097601	0.14245369
2021-11-27	Germany	Omicron	0.17340402	0.005602294	0.24071513	0.09403685	0.21397881	0.1173687	0.19417514	0.14456266
2021-11-28	Germany	Omicron	0.17358454	0.0064987876	0.24215005	0.0873757	0.21379241	0.11411325	0.18960969	0.13731131
2021-11-29	Germany	Omicron	0.17333345	0.007527437	0.2459898	0.08920016	0.21677808	0.11569474	0.18886039	0.1346645
2021-11-30	Germany	Omicron	0.17308187	0.008750549	0.24930108	0.08573446	0.21912438	0.11503962	0.19116734	0.1352675
2021-12-01	Germany	Omicron	0.17363814	0.010152873	0.2513653	0.07711458	0.21984492	0.11021055	0.19107437	0.13242249
2021-12-02	Germany	Omicron	0.1741917	0.011756729	0.25881976	0.07680399	0.22334628	0.105079494	0.18833609	0.12342218
2021-12-03	Germany	Omicron	0.17677997	0.013603386	0.26922846	0.060121484	0.23672833	0.10528558	0.19227125	0.11864869
2021-09-01	Germany	other	-0.05767363	0.0044641565	-0.017464394	-0.103442796	-0.032649018	-0.09030727	-0.046710413	-0.07631978
2021-09-02	Germany	other	-0.057678547	0.0044641565	-0.02241937	-0.095604815	-0.03440855	-0.08330172	-0.0457763	-0.070518106
2021-09-03	Germany	other	-0.058183048	0.004463981	-0.025788553	-0.095984876	-0.037704203	-0.08455738	-0.0473498	-0.07084923
2021-09-04	Germany	other	-0.05788266	0.0044573103	-0.026438143	-0.09375367	-0.038270798	-0.082498804	-0.04757813	-0.07025117
2021-09-05	Germany	other	-0.057578214	0.0044195578	-0.025861468	-0.08980831	-0.03966711	-0.08236158	-0.048149396	-0.06987504
2021-09-06	Germany	other	-0.05698457	0.0043051457	-0.028113328	-0.09028146	-0.03671181	-0.077222906	-0.04911511	-0.070577
2021-09-07	Germany	other	-0.05602931	0.004150592	-0.026680617	-0.0864181	-0.03541361	-0.0740539	-0.04633072	-0.06687928
2021-09-08	Germany	other	-0.054862063	0.0039921044	-0.025724124	-0.08329127	-0.037349224	-0.07540976	-0.045067813	-0.06500269
2021-09-09	Germany	other	-0.053825032	0.0038629214	-0.027660718	-0.08457459	-0.036477573	-0.072881	-0.043188393	-0.062520646
2021-09-10	Germany	other	-0.05222596	0.0037582347	-0.025315901	-0.078981824	-0.034505688	-0.06920516	-0.04288161	-0.061347872
2021-09-11	Germany	other	-0.05089174	0.003664427	-0.025803063	-0.077465996	-0.033978198	-0.06769179	-0.04205804	-0.059692606
2021-09-12	Germany	other	-0.049458165	0.003565565	-0.024319448	-0.07396057	-0.033936884	-0.06700309	-0.0417788	-0.05877804
2021-09-13	Germany	other	-0.04816538	0.0034526866	-0.025399636	-0.07470804	-0.033126954	-0.06489289	-0.03888854	-0.05510454
2021-09-14	Germany	other	-0.046900753	0.0033470378	-0.023890445	-0.07134869	-0.03240482	-0.06317737	-0.03970818	-0.055493087
2021-09-15	Germany	other	-0.04559641	0.0032437677	-0.024254156	-0.071170405	-0.03208181	-0.062392157	-0.038675085	-0.054057423
2021-09-16	Germany	other	-0.044310268	0.0031477278	-0.023412874	-0.06990651	-0.030686231	-0.060102917	-0.03851942	-0.05368142
2021-09-17	Germany	other	-0.043104045	0.00305663	-0.022272313	-0.067388445	-0.029277498	-0.057610676	-0.036873497	-0.051786873
2021-09-18	Germany	other	-0.04167047	0.0029674624	-0.02029711	-0.063352466	-0.028738203	-0.056799643	-0.035723466	-0.050549544
2021-09-19	Germany	other	-0.04031793	0.0028752107	-0.01984487	-0.06219186	-0.026898377	-0.054625984	-0.03334693	-0.047944423
2021-09-20	Germany	other	-0.03891264	0.002788246	-0.018402936	-0.06047278	-0.02514376	-0.052552413	-0.03157436	-0.046128944
2021-09-21	Germany	other	-0.0377347	0.0027049119	-0.016362442	-0.057841714	-0.02434662	-0.051650636	-0.03211292	-0.046727628
2021-09-22	Germany	other	-0.03629424	0.002625859	-0.015186713	-0.057322953	-0.023239257	-0.050728448	-0.029712155	-0.044346787
